# EIG2DOS: Utility for SIESTA to obtain the electronic density of states
#  E. Artacho, Apr 1999, A. Garcia, Apr 2012
#  Nick R. Papior, Feb 2017
# ------------------------------------------
# Eigenvalues read from Fe.EIG
# Kpoint weights read from Fe.KP
# Using smearing parameter:   0.2000
# Using 1000 points in the energy range
# Selected bands: 1 to: 38
# Emin, Emax in file for selected band(s):    -91.7901190    229.3201370
# Nbands, Nspin, Nk   =     38     2 63800
# E_F                 =    -4.2944 eV --> (shifted to ZERO)
# Broadening          =     0.2000 eV
#
#        E            N(up)        N(down)         Ntot
    -51.031182      0.000000     10.634345     10.634345
    -50.928088      0.000000      6.672135      6.672135
    -50.824995      0.000000      2.804886      2.804886
    -50.721902      0.000000      0.752885      0.752885
    -50.618809      0.000000      0.125446      0.125446
    -50.515716      0.000000      0.012760      0.012760
    -50.412622      0.000000      0.000784      0.000784
    -50.309529      0.000000      0.000029      0.000029
    -50.206436      0.000000      0.000001      0.000001
    -50.103343      0.000000      0.000000      0.000000
    -50.000250      0.000000      0.000000      0.000000
    -49.897156      0.000000      0.000000      0.000000
    -49.794063      0.000000      0.000000      0.000000
    -49.690970      0.000000      0.000000      0.000000
    -49.587877      0.000000      0.000000      0.000000
    -49.484783      0.000000      0.000000      0.000000
    -49.381690      0.000000      0.000000      0.000000
    -49.278597      0.000000      0.000000      0.000000
    -49.175504      0.000000      0.000000      0.000000
    -49.072411      0.000000      0.000000      0.000000
    -48.969317      0.000000      0.000000      0.000000
    -48.866224      0.000000      0.000000      0.000000
    -48.763131      0.000000      0.000000      0.000000
    -48.660038      0.000000      0.000000      0.000000
    -48.556945      0.000000      0.000000      0.000000
    -48.453851      0.000000      0.000000      0.000000
    -48.350758      0.000000      0.000000      0.000000
    -48.247665      0.000000      0.000000      0.000000
    -48.144572      0.000000      0.000000      0.000000
    -48.041478      0.000000      0.000000      0.000000
    -47.938385      0.000000      0.000000      0.000000
    -47.835292      0.000000      0.000000      0.000000
    -47.732199      0.000000      0.000000      0.000000
    -47.629106      0.000000      0.000000      0.000000
    -47.526012      0.000000      0.000000      0.000000
    -47.422919      0.000000      0.000000      0.000000
    -47.319826      0.000000      0.000000      0.000000
    -47.216733      0.000000      0.000000      0.000000
    -47.113640      0.000000      0.000000      0.000000
    -47.010546      0.000000      0.000000      0.000000
    -46.907453      0.000000      0.000000      0.000000
    -46.804360      0.000000      0.000000      0.000000
    -46.701267      0.000000      0.000000      0.000000
    -46.598174      0.000000      0.000000      0.000000
    -46.495080      0.000000      0.000000      0.000000
    -46.391987      0.000000      0.000000      0.000000
    -46.288894      0.000000      0.000000      0.000000
    -46.185801      0.000000      0.000000      0.000000
    -46.082707      0.000000      0.000000      0.000000
    -45.979614      0.000000      0.000000      0.000000
    -45.876521      0.000000      0.000000      0.000000
    -45.773428      0.000000      0.000000      0.000000
    -45.670335      0.000000      0.000000      0.000000
    -45.567241      0.000000      0.000000      0.000000
    -45.464148      0.000000      0.000000      0.000000
    -45.361055      0.000000      0.000000      0.000000
    -45.257962      0.000000      0.000000      0.000000
    -45.154869      0.000000      0.000000      0.000000
    -45.051775      0.000000      0.000000      0.000000
    -44.948682      0.000000      0.000000      0.000000
    -44.845589      0.000000      0.000000      0.000000
    -44.742496      0.000000      0.000000      0.000000
    -44.639402      0.000000      0.000000      0.000000
    -44.536309      0.000000      0.000000      0.000000
    -44.433216      0.000000      0.000000      0.000000
    -44.330123      0.000000      0.000000      0.000000
    -44.227030      0.000000      0.000000      0.000000
    -44.123936      0.000000      0.000000      0.000000
    -44.020843      0.000000      0.000000      0.000000
    -43.917750      0.000000      0.000000      0.000000
